,description.year_built,description.baths_full,description.baths_3qtr,description.baths_half,description.baths_1qtr,description.lot_sqft,description.sqft,description.garage,description.beds,description.stories,location.address.coordinate.lon,location.address.coordinate.lat,list_price
741,2020.0,3.0,,,,6970.0,2529.0,2.0,3.0,2.0,-78.79473116,35.950797755,382840
742,2021.0,2.0,,1.0,,18295.0,2808.0,2.0,4.0,2.0,-78.859618,36.124857,389900
743,2020.0,3.0,,,,6534.0,2422.0,2.0,4.0,2.0,-78.79388145,35.958716838,388790
744,2020.0,3.0,,,,6534.0,2422.0,2.0,4.0,2.0,-78.79370979,35.95882105,387790
745,2020.0,3.0,,,,6534.0,2422.0,2.0,4.0,2.0,-78.79260802,35.958556177,377490
746,2020.0,3.0,,,,6970.0,2388.0,2.0,3.0,2.0,-78.79362396,35.958977368,373340
747,2020.0,3.0,,,,6098.0,2529.0,2.0,3.0,2.0,-78.79401539,35.95299506,383840
748,1952.0,2.0,,,,9583.0,1512.0,,3.0,1.0,-78.931962,36.040339,265000
749,,2.0,,,,1902.0,1902.0,2.0,3.0,1.0,-78.79386,35.95896,350990
750,,2.0,,,,1796.0,1796.0,2.0,2.0,1.0,-78.79386,35.95896,345990
751,,2.0,,,,1883.0,1883.0,2.0,3.0,1.0,-78.79386,35.95896,350990
752,,2.0,,,,1672.0,1672.0,2.0,2.0,1.0,-78.79386,35.95896,342990
753,2021.0,3.0,,1.0,,5663.0,2819.0,2.0,4.0,2.0,-78.955722,35.878571,633000
754,2020.0,3.0,,,,7405.0,2388.0,2.0,3.0,2.0,-78.79241697,35.958295646,375840
755,2020.0,3.0,,,,6534.0,2388.0,2.0,3.0,2.0,-78.79044499,35.96080684,378140
757,1946.0,1.0,,,,7275.0,1172.0,,2.0,1.0,-78.890841,36.000088,239900
758,2020.0,5.0,,,,4966.0,3389.0,2.0,5.0,2.0,-78.956212,35.879008,655000
760,2020.0,2.0,,,,5793.0,1861.0,2.0,3.0,1.0,-78.791546,35.944052,414070
761,2020.0,3.0,,,,3703.0,2437.0,2.0,4.0,2.0,-78.955022,35.880316,495000
762,1963.0,2.0,,,,25265.0,2250.0,,3.0,1.0,-78.964017,35.986757,369500
763,1940.0,1.0,,,,82503.0,547.0,,1.0,1.0,-78.823588,36.019023,150000
767,1983.0,4.0,,,,50965.0,3712.0,2.0,5.0,2.0,-78.919586,35.903282,595000
772,2020.0,3.0,,,,46783.0,1582.0,,4.0,3.0,-78.891465,35.978097,385000
773,2020.0,3.0,,,,10106.0,1582.0,,4.0,2.0,-78.891459,35.978505,375000
774,1950.0,1.0,,,,15682.0,742.0,,2.0,1.0,-78.820006,35.894969,125000
777,2020.0,3.0,,,,6578.0,2588.0,2.0,3.0,2.0,-78.93606639,35.889069471,588485
778,2020.0,3.0,,,,7710.0,2034.0,2.0,3.0,2.0,-78.93685737,35.889355907,469180
779,2020.0,2.0,,1.0,,6534.0,2212.0,1.0,3.0,2.0,-78.889431,36.004014,675000
781,2021.0,3.0,,,,7841.0,3520.0,2.0,4.0,2.0,-78.905147,36.014672,825000
782,2020.0,2.0,,1.0,,10019.0,1920.0,2.0,4.0,2.0,-78.80654,36.026217,259999
784,1940.0,2.0,,,,8712.0,1339.0,,3.0,1.0,-78.876006,36.001757,187000
786,1950.0,1.0,,,,28750.0,888.0,,2.0,1.0,-78.864531,35.981974,260000
789,1956.0,2.0,,,,9627.0,1724.0,,3.0,1.0,-78.881458,35.940579,130000
795,1972.0,2.0,,,,20168.0,1728.0,,4.0,1.0,-78.988054,35.97078,319900
797,2020.0,2.0,,,,29621.0,1412.0,2.0,3.0,1.0,-78.802174,35.973037,306900
798,1997.0,3.0,,1.0,,24002.0,3026.0,2.0,4.0,2.0,-78.858981,36.135437,415000
802,2020.0,3.0,,,,7144.0,2585.0,2.0,3.0,2.0,-78.93655041,35.889529532,528250
803,2020.0,2.0,,1.0,,10193.0,2022.0,2.0,3.0,2.0,-78.887432,36.003857,725000
804,2020.0,2.0,,1.0,,9845.0,2022.0,2.0,3.0,2.0,-78.887599,36.003835,725000
805,2020.0,2.0,,,,14375.0,1543.0,2.0,3.0,1.0,-78.8741,36.1036,249999
806,1979.0,4.0,,1.0,,30928.0,5372.0,2.0,4.0,2.0,-78.915472,35.974426,860000
810,1955.0,2.0,,,,714384.0,1080.0,,3.0,1.0,-78.828154,36.026602,525000
814,2020.0,2.0,,1.0,,30928.0,2392.0,2.0,4.0,2.0,-78.924294,35.942105,379900
815,,2.0,,1.0,,1680.0,1680.0,2.0,4.0,2.0,-78.888844,36.059057,264990
816,,2.0,,1.0,,1903.0,1903.0,2.0,4.0,2.0,-78.888844,36.059057,274990
817,,2.0,,1.0,,2203.0,2203.0,2.0,4.0,2.0,-78.888844,36.059057,284990
818,,2.0,,,,1440.0,1440.0,2.0,3.0,2.0,-78.888844,36.059057,239990
819,,2.0,,,,1296.0,1296.0,2.0,3.0,1.0,-78.888844,36.059057,254990
823,2020.0,2.0,,1.0,,10454.0,2225.0,2.0,4.0,2.0,-78.874367,36.103034,304900
824,2020.0,2.0,,1.0,,11326.0,1920.0,2.0,3.0,2.0,-78.839175,35.990202,270000
825,2007.0,5.0,,2.0,,28488.0,6685.0,3.0,5.0,2.0,-78.956417,35.865512,1199999
827,1971.0,2.0,,1.0,,11326.0,1382.0,,4.0,1.0,-78.845327,35.98503,83900
828,1900.0,1.0,,,,10454.0,1586.0,,4.0,2.0,-78.900966,35.98245,161500
829,1999.0,3.0,,2.0,,276606.0,3255.0,8.0,4.0,2.0,-78.954926,35.850084,850000
832,1938.0,1.0,,,,91258.0,900.0,,1.0,1.0,-78.840737,36.024129,340000
